Date,Region,Beds COVID Patients,Beds COVID PUI,Beds COVID Total,ICU Beds COVID Patients,ICU Beds COVID PUI,ICU Beds COVID Total,Ventilators COVID Patients,Ventilators COVID PUI,Ventilators COVID Total,ICU/Hospitalization Percentage,Ventilator/ICU Percentage
9/1/2020,2,55,13,68,18,12,30,,,,44.1,
9/1/2020,3,43,19,62,19,4,23,,,,37.1,
9/1/2020,4,26,17,43,6,10,16,,,,37.2,
9/1/2020,5,106,137,243,44,26,70,,,,28.8,
9/1/2020,6,53,62,115,9,11,20,,,,17.4,
9/1/2020,7,38,8,46,7,1,8,,,,17.4,
9/1/2020,8,28,15,43,10,1,11,,,,25.6,
9/1/2020,9,27,5,32,7,1,8,,,,25,
9/1/2020,10,64,27,91,26,6,32,,,,35.2,
9/2/2020,1,66,38,104,25,8,33,,,,31.7,
9/2/2020,2,53,19,72,15,13,28,,,,38.9,
9/2/2020,3,43,30,73,20,5,25,,,,34.2,
9/2/2020,4,25,15,40,6,6,12,,,,30,
9/2/2020,5,102,172,274,46,32,78,,,,28.5,
9/2/2020,6,57,56,113,13,12,25,,,,22.1,
9/2/2020,7,41,4,45,9,0,9,,,,20,
9/2/2020,8,32,12,44,11,0,11,,,,25,
9/2/2020,9,30,7,37,7,1,8,,,,21.6,
9/2/2020,10,62,25,87,27,4,31,,,,35.6,
9/3/2020,1,68,53,121,22,4,26,,,,21.5,
9/3/2020,2,45,10,55,11,12,23,,,,,
9/3/2020,3,35,24,59,18,5,23,,,,,
9/3/2020,4,17,16,33,6,7,13,,,,,
9/3/2020,5,108,133,241,49,30,79,,,,,
9/3/2020,6,51,41,92,13,10,23,,,,,
9/3/2020,7,38,7,45,7,1,8,,,,,
9/3/2020,8,30,4,34,12,2,14,,,,,
9/3/2020,9,30,8,38,8,1,9,,,,,
9/3/2020,10,60,28,88,28,8,36,,,,,
9/4/2020,1,69,66,135,25,12,37,,,,,
9/4/2020,2,48,12,60,11,10,21,,,,,
9/4/2020,3,42,24,66,21,3,24,,,,,
9/4/2020,4,17,8,25,6,2,8,,,,,
9/4/2020,5,105,143,248,50,40,90,,,,,
9/4/2020,6,47,45,92,16,10,26,,,,,
9/4/2020,7,36,9,45,8,1,9,,,,,
9/4/2020,8,24,11,35,11,2,13,,,,,
9/4/2020,9,30,6,36,10,0,10,,,,,
9/4/2020,10,60,27,87,28,5,33,,,,,
9/5/2020,1,73,31,104,22,8,30,,,,,
9/5/2020,2,51,7,58,8,10,18,,,,,
9/5/2020,3,40,24,64,19,2,21,,,,,
9/5/2020,4,17,15,32,5,3,8,,,,,
9/5/2020,5,86,132,218,43,25,68,,,,,
9/5/2020,6,52,50,102,18,10,28,,,,,
9/5/2020,7,31,10,41,5,0,5,,,,,
9/5/2020,8,26,12,38,11,2,13,,,,,
9/5/2020,9,22,4,26,10,1,11,,,,,
9/5/2020,10,65,29,94,28,1,29,,,,,
9/6/2020,1,68,34,102,15,8,23,,,,,
9/6/2020,2,49,16,65,10,11,21,,,,,
9/6/2020,3,41,35,76,19,5,24,,,,,
9/6/2020,4,14,13,27,6,1,7,,,,,
9/6/2020,5,89,106,195,45,25,70,,,,,
9/6/2020,6,57,56,113,17,12,29,,,,,
9/6/2020,7,34,8,42,7,2,9,,,,,
9/6/2020,8,23,11,34,11,3,14,,,,,
9/6/2020,9,22,8,30,11,3,14,,,,,
9/6/2020,10,63,17,80,30,1,31,,,,,
9/7/2020,1,66,41,107,15,6,21,,,,,
9/7/2020,2,44,9,53,11,6,17,,,,,
9/7/2020,3,48,24,72,25,3,28,,,,,
9/7/2020,4,15,20,35,6,7,13,,,,,
9/7/2020,5,88,131,219,38,24,62,,,,,
9/7/2020,6,62,61,123,19,12,31,,,,,
9/7/2020,7,34,9,43,10,3,13,,,,,
9/7/2020,8,19,18,37,11,5,16,,,,,
9/7/2020,9,31,6,37,11,2,13,,,,,
9/7/2020,10,62,19,81,26,5,31,,,,,
9/8/2020,1,68,44,112,21,9,30,,,,,
9/8/2020,2,37,14,51,13,7,20,,,,,
9/8/2020,3,48,32,80,28,5,33,,,,,
9/8/2020,4,14,14,28,5,4,9,,,,,
9/8/2020,5,93,102,195,37,20,57,,,,,
9/8/2020,6,65,44,109,18,12,30,,,,,
9/8/2020,7,37,3,40,11,0,11,,,,,
9/8/2020,8,17,11,28,8,3,11,,,,,
9/8/2020,9,35,5,40,11,1,12,,,,,
9/8/2020,10,67,11,78,26,1,27,,,,,
