Date,All Beds COVID Patients,All Beds COVID PUI,All Beds COVID Total,ICU Beds COVID Patients,ICU Beds COVID PUI,ICU Beds COVID Total,Ventilators COVID Patients,Ventilators COVID PUI,Ventilators COVID Total,ICU/Hospital Bed Percentage,Ventilator/ICU Percentage
12-Aug,559,355,914,200,81,281,83,,,30.7,
13-Aug,548,403,951,195,96,291,81,,,30.6,
14-Aug,538,364,902,184,96,280,88,,,31,
15-Aug,549,415,964,180,79,259,82,,,26.9,
16-Aug,561,333,894,186,76,262,95,,,29.3,
17-Aug,555,314,869,175,82,257,96,,,29.6,
18-Aug,542,345,887,182,72,254,89,,,28.6,
19-Aug,560,345,905,186,68,254,85,,,28.1,
20-Aug,533,363,896,179,86,265,80,,,29.6,
21-Aug,527,360,887,173,76,249,78,,,28.1,
22-Aug,508,388,896,177,71,248,75,,,27.7,
23-Aug,505,353,858,178,74,252,74,,,29.4,
24-Aug,534,389,923,175,89,264,76,,,28.6,
25-Aug,537,388,925,180,99,279,81,,,30.2,
26-Aug,533,356,889,183,90,273,69,,,30.7,
27-Aug,541,332,873,190,91,281,66,,,32.2,
28-Aug,540,318,858,194,91,285,66,,,33.2,
29-Aug,551,329,880,186,96,282,78,,,32,
30-Aug,530,375,905,163,57,220,77,,,24.3,
31-Aug,545,334,879,161,56,217,78,,,24.7,
1-Sep,509,342,851,171,82,253,67,,,29.7,
2-Sep,511,378,889,179,81,260,70,,,29.2,
3-Sep,482,324,806,174,80,254,81,,,31.5,
4-Sep,478,351,829,186,85,271,85,,,32.7,
5-Sep,463,314,777,169,62,231,79,,,29.7,
6-Sep,460,304,764,171,71,242,67,,,31.7,
7-Sep,469,338,807,172,73,245,62,,,30.4,
8-Sep,481,280,761,178,62,240,69,,,31.5,
